uf,cidade,lat,lon
AC,ACRELÂNDIA,-10.0759167,-67.0526898
AC,ASSIS BRASIL,-10.9409203,-69.5672108
AC,BRASILÉIA,-11.0010413,-68.7487894
AC,BUJARI,-9.8309656,-67.9520886
AC,CAPIXABA,-10.5741345,-67.6759719
AC,CRUZEIRO DO SUL,-7.6307956,-72.6703869
AC,EPITACIOLÂNDIA,-11.0289439,-68.7411519
AC,FEIJÓ,-8.1648652,-70.3539579
AC,JORDÃO,-9.1911406,-71.9481397
AC,MANOEL URBANO,-8.838755,-69.2619465
AC,MARECHAL THAUMATURGO,-8.9479792,-72.7872614
AC,MÂNCIO LIMA,-7.6145911,-72.905264
AC,PLÁCIDO DE CASTRO,-10.3239154,-67.1824196
AC,PORTO ACRE,-9.5879722,-67.53307
AC,PORTO WALTER,-8.2687722,-72.7444458
AC,RIO BRANCO,-9.9765362,-67.8220778
AC,RODRIGUES ALVES,-7.7380283,-72.6509379
AC,SANTA ROSA DO PURUS,-9.4354872,-70.4926109
AC,SENA MADUREIRA,-9.0659556,-68.6571058
AC,SENADOR GUIOMARD,-9.9765,-67.31913961038961
AC,TARAUACÁ,-8.1602019,-70.7665368
AC,XAPURI,-10.6511174,-68.5017902
AL,ANADIA,-9.6830208,-36.3052699
AL,ARAPIRACA,-9.754866,-36.661471
AL,ATALAIA,-23.1513833,-52.0529697
AL,BARRA DE SANTO ANTÔNIO,-9.4038098,-35.5117693
AL,BARRA DE SÃO MIGUEL,-9.8261357,-35.8837777
AL,BATALHA,-9.6733809,-37.1265481
AL,BELO MONTE,-9.8269944,-37.2787165
AL,BELÉM,-1.45056,-48.4682453
AL,BOCA DA MATA,-9.6452054,-36.2116658
AL,BRANQUINHA,-9.2478057,-36.0152009
AL,CACIMBINHAS,-9.401212,-36.991082
AL,CAJUEIRO,-9.399589,-36.1524309
AL,CAMPESTRE,-8.8481634,-35.5660033
AL,CAMPO ALEGRE,-26.1941684,-49.2657484
AL,CAMPO GRANDE,-9.9725,-36.74791447368421
AL,CANAPI,-9.1173572,-37.6011704
AL,CAPELA,-9.415041,-36.082583
AL,CARNEIROS,-9.4832948,-37.3757121
AL,CHÃ PRETA,-9.255605,-36.298334
AL,COITÉ DO NÓIA,-9.633484,-36.584493
AL,COLÔNIA LEOPOLDINA,-8.9144649,-35.7220255
AL,COQUEIRO SECO,-9.637147,-35.799377
AL,CORURIPE,-10.1249963,-36.1760623
AL,CRAÍBAS,-9.6168038,-36.7684669
AL,DELMIRO GOUVEIA,-9.3841161,-37.997756
AL,DOIS RIACHOS,-9.384645,-37.096502
AL,ESTRELA DE ALAGOAS,-9.3888972,-36.7616833
AL,FEIRA GRANDE,-9.8944239,-36.6793255
AL,FELIZ DESERTO,-10.292494,-36.3028583
AL,FLEXEIRAS,-9.2788679,-35.7235246
AL,GIRAU DO PONCIANO,-9.884041,-36.831592
AL,IBATEGUARA,-8.9737196,-35.9279963
AL,IGACI,-9.537678,-36.637191
AL,IGREJA NOVA,-10.1267244,-36.658151
AL,INHAPI,-9.222095,-37.7480654
AL,JACARÉ DOS HOMENS,-9.6348723,-37.2055752
AL,JACUÍPE,-8.83951,-35.459074
AL,JAPARATINGA,-9.087464,-35.263403
AL,JARAMATAIA,-9.6597307,-37.0015482
AL,JEQUIÁ DA PRAIA,-10.0092595,-36.0232787
AL,JOAQUIM GOMES,-9.1372894,-35.7518862
AL,JUNDIÁ,-8.944022,-35.5546827
AL,JUNQUEIRO,-9.9201549,-36.474737
AL,LAGOA DA CANOA,-9.8294012,-36.7395617
AL,LIMOEIRO DE ANADIA,-9.7389667,-36.5015847
AL,MACEIÓ,-9.6476843,-35.7339264
AL,MAJOR ISIDORO,-9.4945,-37.036265625
AL,MAR VERMELHO,-9.447393,-36.388076
AL,MARAGOGI,-9.0118278,-35.222512
AL,MARAVILHA,-9.230449,-37.352419
AL,MARECHAL DEODORO,-9.709715,-35.896731
AL,MARIBONDO,-9.5808649,-36.3040574
AL,MATA GRANDE,-9.118243,-37.732298
AL,MATRIZ DE CAMARAGIBE,-9.154373,-35.524302
AL,MESSIAS,-9.393843,-35.839182
AL,MINADOR DO NEGRÃO,-9.312358,-36.869553
AL,MONTEIRÓPOLIS,-9.602565,-37.2461716
AL,MURICI,-9.306823,-35.942798
AL,NOVO LINO,-8.941905,-35.664001
AL,OLHO D'ÁGUA DAS FLORES,-9.5318374,-37.2939052
AL,OLHO D'ÁGUA DO CASADO,-9.5020783,-37.8324537
AL,OLHO D'ÁGUA GRANDE,-10.056075,-36.8135254
AL,OLIVENÇA,-9.5190555,-37.1893316
AL,OURO BRANCO,-9.1622698,-37.3582893
AL,PALESTINA,-20.389344,-49.4320384
AL,PALMEIRA DOS ÍNDIOS,-9.4076249,-36.6323616
AL,PARICONHA,-9.2540147,-38.0039241
AL,PARIPUEIRA,-9.463133,-35.551977
AL,PASSO DE CAMARAGIBE,-9.2367833,-35.4901015
AL,PAULO JACINTO,-9.367918,-36.367241
AL,PENEDO,-10.2872341,-36.5819262
AL,PIAÇABUÇU,-10.4066897,-36.433654
AL,PILAR,-9.6016711,-35.9511275
AL,PINDOBA,-9.473822,-36.291829
AL,PIRANHAS,-9.6115579,-37.7616366
AL,PORTO CALVO,-9.051948,-35.398653
AL,PORTO DE PEDRAS,-9.160065,-35.304914
AL,PORTO REAL DO COLÉGIO,-10.186833,-36.8357056
AL,POÇO DAS TRINCHEIRAS,-9.3063206,-37.2855185
AL,PÃO DE AÇÚCAR,-9.7496551,-37.4329891
AL,QUEBRANGULO,-9.3217611,-36.4735837
