uf,cidade,candidato,votos_validos,votos_concorrentes,lat,lon
AC,ACRELÂNDIA,JAIR BOLSONARO,5238,7118,-10.0759167,-67.0526898
AC,ACRELÂNDIA,LULA,1516,7118,-10.0759167,-67.0526898
AC,ACRELÂNDIA,SIMONE TEBET,192,7118,-10.0759167,-67.0526898
AC,ACRELÂNDIA,CIRO GOMES,117,7118,-10.0759167,-67.0526898
AC,ACRELÂNDIA,SORAYA THRONICKE,37,7118,-10.0759167,-67.0526898
AC,ACRELÂNDIA,FELIPE D'AVILA,11,7118,-10.0759167,-67.0526898
AC,ACRELÂNDIA,PADRE KELMON,6,7118,-10.0759167,-67.0526898
AC,ACRELÂNDIA,VERA,1,7118,-10.0759167,-67.0526898
AC,ACRELÂNDIA,LÉO PÉRICLES,0,7118,-10.0759167,-67.0526898
AC,ACRELÂNDIA,SOFIA MANZANO,0,7118,-10.0759167,-67.0526898
AC,ACRELÂNDIA,CONSTITUINTE EYMAEL,0,7118,-10.0759167,-67.0526898
AC,ASSIS BRASIL,JAIR BOLSONARO,2694,4871,-10.9409203,-69.5672108
AC,ASSIS BRASIL,LULA,2003,4871,-10.9409203,-69.5672108
AC,ASSIS BRASIL,SIMONE TEBET,109,4871,-10.9409203,-69.5672108
AC,ASSIS BRASIL,CIRO GOMES,44,4871,-10.9409203,-69.5672108
AC,ASSIS BRASIL,SORAYA THRONICKE,11,4871,-10.9409203,-69.5672108
AC,ASSIS BRASIL,VERA,5,4871,-10.9409203,-69.5672108
AC,ASSIS BRASIL,PADRE KELMON,2,4871,-10.9409203,-69.5672108
AC,ASSIS BRASIL,FELIPE D'AVILA,2,4871,-10.9409203,-69.5672108
AC,ASSIS BRASIL,SOFIA MANZANO,1,4871,-10.9409203,-69.5672108
AC,ASSIS BRASIL,LÉO PÉRICLES,0,4871,-10.9409203,-69.5672108
AC,ASSIS BRASIL,CONSTITUINTE EYMAEL,0,4871,-10.9409203,-69.5672108
AC,BRASILÉIA,JAIR BOLSONARO,9143,14138,-11.0010413,-68.7487894
AC,BRASILÉIA,LULA,4171,14138,-11.0010413,-68.7487894
AC,BRASILÉIA,SIMONE TEBET,496,14138,-11.0010413,-68.7487894
AC,BRASILÉIA,CIRO GOMES,249,14138,-11.0010413,-68.7487894
AC,BRASILÉIA,SORAYA THRONICKE,53,14138,-11.0010413,-68.7487894
AC,BRASILÉIA,FELIPE D'AVILA,12,14138,-11.0010413,-68.7487894
AC,BRASILÉIA,SOFIA MANZANO,4,14138,-11.0010413,-68.7487894
AC,BRASILÉIA,PADRE KELMON,4,14138,-11.0010413,-68.7487894
AC,BRASILÉIA,CONSTITUINTE EYMAEL,3,14138,-11.0010413,-68.7487894
AC,BRASILÉIA,VERA,2,14138,-11.0010413,-68.7487894
AC,BRASILÉIA,LÉO PÉRICLES,1,14138,-11.0010413,-68.7487894
AC,BUJARI,JAIR BOLSONARO,4505,7263,-9.8309656,-67.9520886
AC,BUJARI,LULA,2130,7263,-9.8309656,-67.9520886
AC,BUJARI,SIMONE TEBET,356,7263,-9.8309656,-67.9520886
AC,BUJARI,CIRO GOMES,197,7263,-9.8309656,-67.9520886
AC,BUJARI,SORAYA THRONICKE,58,7263,-9.8309656,-67.9520886
AC,BUJARI,PADRE KELMON,9,7263,-9.8309656,-67.9520886
AC,BUJARI,FELIPE D'AVILA,5,7263,-9.8309656,-67.9520886
AC,BUJARI,SOFIA MANZANO,2,7263,-9.8309656,-67.9520886
AC,BUJARI,VERA,1,7263,-9.8309656,-67.9520886
AC,BUJARI,CONSTITUINTE EYMAEL,0,7263,-9.8309656,-67.9520886
AC,BUJARI,LÉO PÉRICLES,0,7263,-9.8309656,-67.9520886
AC,CAPIXABA,JAIR BOLSONARO,3944,6011,-10.5741345,-67.6759719
AC,CAPIXABA,LULA,1630,6011,-10.5741345,-67.6759719
AC,CAPIXABA,SIMONE TEBET,264,6011,-10.5741345,-67.6759719
AC,CAPIXABA,CIRO GOMES,120,6011,-10.5741345,-67.6759719
AC,CAPIXABA,SORAYA THRONICKE,46,6011,-10.5741345,-67.6759719
AC,CAPIXABA,FELIPE D'AVILA,6,6011,-10.5741345,-67.6759719
AC,CAPIXABA,SOFIA MANZANO,1,6011,-10.5741345,-67.6759719
AC,CAPIXABA,LÉO PÉRICLES,0,6011,-10.5741345,-67.6759719
AC,CAPIXABA,VERA,0,6011,-10.5741345,-67.6759719
AC,CAPIXABA,PADRE KELMON,0,6011,-10.5741345,-67.6759719
AC,CAPIXABA,CONSTITUINTE EYMAEL,0,6011,-10.5741345,-67.6759719
AC,CRUZEIRO DO SUL,JAIR BOLSONARO,30977,45201,-7.6307956,-72.6703869
AC,CRUZEIRO DO SUL,LULA,10770,45201,-7.6307956,-72.6703869
AC,CRUZEIRO DO SUL,SIMONE TEBET,1883,45201,-7.6307956,-72.6703869
AC,CRUZEIRO DO SUL,CIRO GOMES,1267,45201,-7.6307956,-72.6703869
AC,CRUZEIRO DO SUL,SORAYA THRONICKE,171,45201,-7.6307956,-72.6703869
AC,CRUZEIRO DO SUL,FELIPE D'AVILA,72,45201,-7.6307956,-72.6703869
AC,CRUZEIRO DO SUL,PADRE KELMON,31,45201,-7.6307956,-72.6703869
AC,CRUZEIRO DO SUL,SOFIA MANZANO,18,45201,-7.6307956,-72.6703869
AC,CRUZEIRO DO SUL,VERA,6,45201,-7.6307956,-72.6703869
AC,CRUZEIRO DO SUL,LÉO PÉRICLES,4,45201,-7.6307956,-72.6703869
AC,CRUZEIRO DO SUL,CONSTITUINTE EYMAEL,2,45201,-7.6307956,-72.6703869
AC,EPITACIOLÂNDIA,JAIR BOLSONARO,6494,9666,-11.0289439,-68.7411519
AC,EPITACIOLÂNDIA,LULA,2592,9666,-11.0289439,-68.7411519
AC,EPITACIOLÂNDIA,SIMONE TEBET,377,9666,-11.0289439,-68.7411519
AC,EPITACIOLÂNDIA,CIRO GOMES,142,9666,-11.0289439,-68.7411519
AC,EPITACIOLÂNDIA,SORAYA THRONICKE,46,9666,-11.0289439,-68.7411519
AC,EPITACIOLÂNDIA,PADRE KELMON,6,9666,-11.0289439,-68.7411519
AC,EPITACIOLÂNDIA,FELIPE D'AVILA,4,9666,-11.0289439,-68.7411519
AC,EPITACIOLÂNDIA,SOFIA MANZANO,2,9666,-11.0289439,-68.7411519
AC,EPITACIOLÂNDIA,VERA,2,9666,-11.0289439,-68.7411519
AC,EPITACIOLÂNDIA,LÉO PÉRICLES,1,9666,-11.0289439,-68.7411519
AC,EPITACIOLÂNDIA,CONSTITUINTE EYMAEL,0,9666,-11.0289439,-68.7411519
AC,FEIJÓ,LULA,7930,15220,-8.1648652,-70.3539579
AC,FEIJÓ,JAIR BOLSONARO,6191,15220,-8.1648652,-70.3539579
AC,FEIJÓ,SIMONE TEBET,635,15220,-8.1648652,-70.3539579
AC,FEIJÓ,CIRO GOMES,373,15220,-8.1648652,-70.3539579
AC,FEIJÓ,SORAYA THRONICKE,69,15220,-8.1648652,-70.3539579
AC,FEIJÓ,FELIPE D'AVILA,11,15220,-8.1648652,-70.3539579
AC,FEIJÓ,SOFIA MANZANO,6,15220,-8.1648652,-70.3539579
AC,FEIJÓ,PADRE KELMON,2,15220,-8.1648652,-70.3539579
AC,FEIJÓ,LÉO PÉRICLES,2,15220,-8.1648652,-70.3539579
